bed,bath,acre_lot,zip_code,house_size,price,city
7.0,3.0,0.09,949.0,1192.0,110000.0,528
2.0,1.0,0.15,693.0,1000.0,63000.0,2146
6.0,3.0,4.94,692.0,3000.0,265000.0,2145
3.0,1.0,0.15,783.0,934.0,88000.0,452
3.0,1.0,0.07,962.0,1025.0,102000.0,2145
3.0,1.0,12.62,783.0,934.0,150000.0,452
3.0,2.0,0.08,653.0,1066.0,30000.0,834
6.0,3.0,0.13,680.0,2110.0,77000.0,1230
3.0,2.0,0.1,623.0,1708.0,154000.0,297
2.0,1.0,0.13,680.0,900.0,29000.0,1230
4.0,2.0,3.75,667.0,1473.0,157000.0,1057
3.0,1.0,0.04,680.0,975.0,60150.0,1230
7.0,3.0,0.1,680.0,1000.0,219000.0,1230
3.0,2.0,0.16,623.0,1100.0,159900.0,297
4.0,2.0,0.85,660.0,1233.0,55000.0,956
2.0,1.0,0.52,623.0,854.0,149900.0,297
4.0,2.0,0.47,667.0,1473.0,44000.0,1057
3.0,2.0,2.5,623.0,1205.0,80000.0,297
3.0,2.0,0.25,623.0,1205.0,60000.0,297
3.0,2.0,0.22,623.0,1205.0,48500.0,297
